site_no,datetime,discharge_va,discharge_va_cd
8097500,4/15/1940,1930,A
8097500,4/16/1940,1560,A
8097500,4/17/1940,1060,A
8097500,4/18/1940,962,A
8097500,4/19/1940,1010,A
8097500,4/20/1940,915,A
8097500,4/21/1940,780,A
8097500,4/22/1940,695,A
8097500,4/23/1940,618,A
8097500,4/24/1940,545,A
8097500,4/25/1940,375,A
8097500,4/26/1940,333,A
8097500,4/27/1940,314,A
8097500,4/28/1940,4220,A
8097500,4/29/1940,3980,A
8097500,4/30/1940,1960,A
8097500,5/1/1940,545,A
8097500,5/2/1940,352,A
8097500,5/3/1940,333,A
8097500,5/4/1940,580,A
8097500,5/5/1940,333,A
8097500,5/6/1940,280,A
8097500,5/7/1940,249,A
8097500,5/8/1940,249,A
8097500,5/9/1940,221,A
8097500,5/10/1940,194,A
8097500,5/11/1940,190,A
8097500,5/12/1940,190,A
8097500,5/13/1940,3890,A
8097500,5/14/1940,3410,A
8097500,5/15/1940,2030,A
8097500,5/16/1940,1240,A
8097500,5/17/1940,825,A
8097500,5/18/1940,962,A
8097500,5/19/1940,1240,A
8097500,5/20/1940,2030,A
8097500,5/21/1940,2600,A
8097500,5/22/1940,2310,A
8097500,5/23/1940,2450,A
8097500,5/24/1940,2750,A
8097500,5/25/1940,2900,A
8097500,5/26/1940,2600,A
8097500,5/27/1940,2450,A
8097500,5/28/1940,4600,A
8097500,5/29/1940,4600,A
8097500,5/30/1940,4600,A
8097500,5/31/1940,4600,A
8097500,6/1/1940,5100,A
8097500,6/2/1940,5100,A
8097500,6/3/1940,5100,A
8097500,6/4/1940,5100,A
8097500,6/5/1940,5100,A
8097500,6/6/1940,5100,A
8097500,6/7/1940,2310,A
8097500,6/8/1940,1630,A
8097500,6/9/1940,1240,A
8097500,6/10/1940,1630,A
8097500,6/11/1940,1760,A
8097500,6/12/1940,2400,A
8097500,6/13/1940,5180,A
8097500,6/14/1940,5920,A
8097500,6/15/1940,9160,A
8097500,6/16/1940,9440,A
8097500,6/17/1940,7110,A
8097500,6/18/1940,18000,A
8097500,6/19/1940,19400,A
8097500,6/20/1940,14600,A
8097500,6/21/1940,11200,A
8097500,6/22/1940,8880,A
8097500,6/23/1940,6420,A
8097500,6/24/1940,5880,A
8097500,6/25/1940,6600,A
8097500,6/26/1940,6200,A
8097500,6/27/1940,13500,A
8097500,6/28/1940,20200,A
8097500,6/29/1940,23300,A
8097500,6/30/1940,11000,A
8097500,7/1/1940,7900,A
8097500,7/2/1940,6000,A
8097500,7/3/1940,9700,A
8097500,7/4/1940,10400,A
8097500,7/5/1940,6300,A
8097500,7/6/1940,3750,A
8097500,7/7/1940,2600,A
8097500,7/8/1940,2310,A
8097500,7/9/1940,2750,A
8097500,7/10/1940,2600,A
8097500,7/11/1940,2310,A
8097500,7/12/1940,2770,A
8097500,7/13/1940,3980,A
8097500,7/14/1940,3240,A
8097500,7/15/1940,2900,A
8097500,7/16/1940,2450,A
8097500,7/17/1940,2310,A
8097500,7/18/1940,2310,A
8097500,7/19/1940,2310,A
8097500,7/20/1940,2310,A
8097500,7/21/1940,1440,A
8097500,7/22/1940,915,A
8097500,7/23/1940,915,A
8097500,7/24/1940,780,A
8097500,7/25/1940,695,A
8097500,7/26/1940,655,A
8097500,7/27/1940,580,A
8097500,7/28/1940,545,A
8097500,7/29/1940,510,A
8097500,7/30/1940,480,A
8097500,7/31/1940,450,A
8097500,8/1/1940,424,A
8097500,8/2/1940,352,A
8097500,8/3/1940,264,A
8097500,8/4/1940,157,A
8097500,8/5/1940,133,A
8097500,8/6/1940,116,A
8097500,8/7/1940,103,A
8097500,8/8/1940,97,A
8097500,8/9/1940,91,A
8097500,8/10/1940,85,A
8097500,8/11/1940,75,A
8097500,8/12/1940,142,A
8097500,8/13/1940,131,A
8097500,8/14/1940,112,A
8097500,8/15/1940,85,A
8097500,8/16/1940,73,A
8097500,8/17/1940,53,A
8097500,8/18/1940,70,A
8097500,8/19/1940,12800,A
8097500,8/20/1940,28600,A
8097500,8/21/1940,26500,A
8097500,8/22/1940,13200,A
8097500,8/23/1940,8880,A
8097500,8/24/1940,7760,A
8097500,8/25/1940,6940,A
8097500,8/26/1940,5020,A
8097500,8/27/1940,3700,A
8097500,8/28/1940,2750,A
8097500,8/29/1940,2450,A
8097500,8/30/1940,1760,A
8097500,8/31/1940,1500,A
8097500,9/1/1940,1010,A
8097500,9/2/1940,915,A
8097500,9/3/1940,825,A
8097500,9/4/1940,735,A
8097500,9/5/1940,618,A
8097500,9/6/1940,1000,A
8097500,9/7/1940,1000,A
8097500,9/8/1940,1000,A
8097500,9/9/1940,1000,A
8097500,9/10/1940,1000,A
8097500,9/11/1940,1280,A
8097500,9/12/1940,2450,A
8097500,9/13/1940,2900,A
8097500,9/14/1940,1250,A
8097500,9/15/1940,1250,A
8097500,9/16/1940,1250,A
8097500,9/17/1940,1250,A
8097500,9/18/1940,1250,A
8097500,9/19/1940,1250,A
8097500,9/20/1940,1250,A
8097500,9/21/1940,1250,A
8097500,9/22/1940,1250,A
8097500,9/23/1940,1250,A
8097500,9/24/1940,1250,A
8097500,9/25/1940,1250,A
8097500,9/26/1940,1250,A
8097500,9/27/1940,1760,A
8097500,9/28/1940,2450,A
8097500,9/29/1940,1440,A
8097500,9/30/1940,1240,A
8097500,10/1/1940,960,A
8097500,10/2/1940,718,A
8097500,10/3/1940,546,A
8097500,10/4/1940,421,A
8097500,10/5/1940,355,A
8097500,10/6/1940,304,A
8097500,10/7/1940,292,A
8097500,10/8/1940,274,A
8097500,10/9/1940,270,A
8097500,10/10/1940,255,A
8097500,10/11/1940,232,A
8097500,10/12/1940,213,A
8097500,10/13/1940,216,A
8097500,10/14/1940,236,A
8097500,10/15/1940,226,A
8097500,10/16/1940,216,A
8097500,10/17/1940,189,A
8097500,10/18/1940,172,A
8097500,10/19/1940,156,A
8097500,10/20/1940,136,A
8097500,10/21/1940,129,A
8097500,10/22/1940,127,A
8097500,10/23/1940,111,A
8097500,10/24/1940,102,A
8097500,10/25/1940,90,A
8097500,10/26/1940,90,A
8097500,10/27/1940,107,A
8097500,10/28/1940,132,A
8097500,10/29/1940,129,A
8097500,10/30/1940,154,A
8097500,10/31/1940,502,A
8097500,11/1/1940,554,A
8097500,11/2/1940,405,A
8097500,11/3/1940,360,A
8097500,11/4/1940,322,A
8097500,11/5/1940,236,A
8097500,11/6/1940,156,A
8097500,11/7/1940,149,A
8097500,11/8/1940,288,A
8097500,11/9/1940,588,A
8097500,11/10/1940,610,A
8097500,11/11/1940,483,A
8097500,11/12/1940,380,A
8097500,11/13/1940,292,A
8097500,11/14/1940,226,A
8097500,11/15/1940,178,A
8097500,11/16/1940,168,A
8097500,11/17/1940,283,A
8097500,11/18/1940,243,A
8097500,11/19/1940,213,A
8097500,11/20/1940,172,A
8097500,11/21/1940,146,A
8097500,11/22/1940,156,A
8097500,11/23/1940,19500,A
8097500,11/24/1940,57500,A
8097500,11/25/1940,58300,A
8097500,11/26/1940,61300,A
8097500,11/27/1940,48000,A
8097500,11/28/1940,19800,A
8097500,11/29/1940,10200,A
8097500,11/30/1940,7280,A
8097500,12/1/1940,5740,A
8097500,12/2/1940,4740,A
8097500,12/3/1940,3930,A
8097500,12/4/1940,3360,A
8097500,12/5/1940,2480,A
8097500,12/6/1940,1710,A
8097500,12/7/1940,1430,A
8097500,12/8/1940,1600,A
8097500,12/9/1940,1470,A
8097500,12/10/1940,1540,A
8097500,12/11/1940,7950,A
8097500,12/12/1940,22900,A
8097500,12/13/1940,10400,A
8097500,12/14/1940,5740,A
8097500,12/15/1940,9610,A
8097500,12/16/1940,29100,A
8097500,12/17/1940,23100,A
8097500,12/18/1940,9710,A
8097500,12/19/1940,6380,A
8097500,12/20/1940,5340,A
8097500,12/21/1940,4560,A
8097500,12/22/1940,4750,A
8097500,12/23/1940,3280,A
8097500,12/24/1940,2560,A
8097500,12/25/1940,2560,A
8097500,12/26/1940,3200,A
8097500,12/27/1940,9750,A
8097500,12/28/1940,11900,A
8097500,12/29/1940,6600,A
8097500,12/30/1940,6160,A
8097500,12/31/1940,6160,A
8097500,1/1/1941,5540,A
8097500,1/2/1941,5940,A
8097500,1/3/1941,4840,A
8097500,1/4/1941,4740,A
8097500,1/5/1941,4940,A
8097500,1/6/1941,3440,A
8097500,1/7/1941,3440,A
8097500,1/8/1941,2720,A
8097500,1/9/1941,2720,A
8097500,1/10/1941,2720,A
8097500,1/11/1941,2480,A
8097500,1/12/1941,2260,A
8097500,1/13/1941,3850,A
8097500,1/14/1941,16300,A
8097500,1/15/1941,7160,A
8097500,1/16/1941,4020,A
8097500,1/17/1941,3440,A
8097500,1/18/1941,1910,A
8097500,1/19/1941,1430,A
8097500,1/20/1941,1350,A
8097500,1/21/1941,1270,A
8097500,1/22/1941,2080,A
8097500,1/23/1941,1810,A
8097500,1/24/1941,1380,A
8097500,1/25/1941,1120,A
8097500,1/26/1941,840,A
8097500,1/27/1941,702,A
8097500,1/28/1941,1220,A
8097500,1/29/1941,1360,A
8097500,1/30/1941,786,A
8097500,1/31/1941,885,A
8097500,2/1/1941,6420,A
8097500,2/2/1941,52800,A
8097500,2/3/1941,36200,A
8097500,2/4/1941,19600,A
8097500,2/5/1941,13300,A
8097500,2/6/1941,8280,A
8097500,2/7/1941,8020,A
8097500,2/8/1941,5740,A
8097500,2/9/1941,4650,A
8097500,2/10/1941,3120,A
8097500,2/11/1941,3200,A
8097500,2/12/1941,3040,A
8097500,2/13/1941,2190,A
8097500,2/14/1941,1880,A
8097500,2/15/1941,2190,A
8097500,2/16/1941,2480,A
8097500,2/17/1941,1300,A
8097500,2/18/1941,1770,A
8097500,2/19/1941,1500,A
8097500,2/20/1941,1070,A
8097500,2/21/1941,4440,A
8097500,2/22/1941,3940,A
8097500,2/23/1941,5320,A
8097500,2/24/1941,34700,A
8097500,2/25/1941,25800,A
8097500,2/26/1941,9880,A
8097500,2/27/1941,8280,A
8097500,2/28/1941,6600,A
8097500,3/1/1941,5340,A
8097500,3/2/1941,6160,A
8097500,3/3/1941,5540,A
8097500,3/4/1941,4840,A
8097500,3/5/1941,5940,A
8097500,3/6/1941,28600,A
8097500,3/7/1941,20000,A
8097500,3/8/1941,11500,A
8097500,3/9/1941,5740,A
8097500,3/10/1941,3760,A
8097500,3/11/1941,5000,A
8097500,3/12/1941,4420,A
8097500,3/13/1941,3440,A
8097500,3/14/1941,3120,A
8097500,3/15/1941,2640,A
8097500,3/16/1941,2120,A
8097500,3/17/1941,2780,A
8097500,3/18/1941,6090,A
8097500,3/19/1941,3540,A
8097500,3/20/1941,2640,A
8097500,3/21/1941,3440,A
8097500,3/22/1941,2120,A
